Rank,Name,G,PA,HR,AVG,wRC+,WAR,WAR_162,WAR_600
521,Scott Kingery,304,1090,29,0.233,76,1.9,1.01,1.05
522,Conor Gillaspie,505,1544,33,0.251,89,1.9,0.61,0.74
523,Nomar Mazara,574,2321,80,0.258,90,1.9,0.54,0.49
524,Jack Hannahan,324,896,13,0.238,86,1.9,0.95,1.27
525,Brian Roberts,283,1157,20,0.243,82,1.8,1.03,0.93
526,Sandy Leon,416,1376,27,0.216,61,1.8,0.7,0.78
527,Tony Wolters,387,1220,7,0.238,57,1.8,0.75,0.89
528,Hanser Alberto,277,951,15,0.278,77,1.8,1.05,1.14
529,John Ryan Murphy,283,733,18,0.216,62,1.8,1.03,1.47
530,Edgar Renteria,168,600,8,0.262,86,1.8,1.74,1.8
531,Travis Jankowski,350,994,8,0.238,76,1.7,0.79,1.03
532,John Buck,506,1893,64,0.232,89,1.7,0.54,0.54
533,Kelby Tomlinson,273,687,3,0.265,85,1.7,1.01,1.48
534,Ronald Torreyes,240,638,4,0.277,80,1.7,1.15,1.6
535,Jason Bartlett,306,1252,6,0.24,80,1.7,0.9,0.81
536,Collin Cowgill,318,759,12,0.234,79,1.7,0.87,1.34
537,Victor Reyes,220,700,8,0.272,80,1.7,1.25,1.46
538,Jemile Weeks,260,1068,4,0.254,86,1.7,1.06,0.96
539,Rick Ankiel,309,962,27,0.228,84,1.6,0.84,1
540,Jeff Mathis,681,2137,32,0.192,41,1.6,0.38,0.45
541,Juan Francisco,390,1066,47,0.232,97,1.6,0.66,0.9
542,Nick Hundley,836,2868,80,0.249,89,1.6,0.31,0.33
543,Brandon Inge,379,1324,29,0.223,73,1.6,0.68,0.73
544,George Kottaras,265,746,31,0.212,104,1.6,0.98,1.29
545,Scott Sizemore,166,614,14,0.24,98,1.6,1.56,1.56
546,Andres Blanco,405,934,17,0.258,92,1.5,0.6,0.96
547,Ronny Cedeno,441,1439,17,0.25,79,1.5,0.55,0.63
548,Renato Nunez,290,1093,51,0.246,99,1.5,0.84,0.82
549,Carlos Lee,459,1917,51,0.261,99,1.5,0.53,0.47
550,Miguel Andujar,187,728,28,0.283,115,1.5,1.3,1.24
551,Hernan Perez,641,1825,45,0.252,73,1.4,0.35,0.46
552,Nate McLouth,480,1662,30,0.23,87,1.4,0.47,0.51
553,Shelley Duncan,262,834,35,0.227,101,1.4,0.87,1.01
554,Abraham Almonte,376,1151,18,0.237,80,1.4,0.6,0.73
555,Daniel Descalso,1080,2893,48,0.235,82,1.4,0.21,0.29
556,Robert Andino,324,1117,14,0.24,73,1.4,0.7,0.75
557,Pedro Florimon,321,867,12,0.211,59,1.3,0.66,0.9
558,Laynce Nix,372,796,25,0.246,91,1.3,0.57,0.98
559,Miguel Cairo,263,658,13,0.254,86,1.3,0.8,1.19
560,Roger Bernadina,519,1389,28,0.237,83,1.3,0.41,0.56
561,Todd Helton,435,1689,44,0.264,97,1.3,0.48,0.46
562,Jorge Bonifacio,214,801,23,0.245,91,1.3,0.98,0.97
563,Kelly Shoppach,262,812,27,0.201,84,1.3,0.8,0.96
564,Mikie Mahtook,291,965,33,0.235,86,1.3,0.72,0.81
565,Dominic Smith,240,712,34,0.256,115,1.3,0.88,1.1
566,Anthony Santander,176,709,32,0.252,95,1.3,1.2,1.1
567,Josh Thole,461,1440,9,0.239,72,1.3,0.46,0.54
568,Brayan Pena,503,1636,15,0.26,76,1.2,0.39,0.44
569,Luke Maile,216,657,10,0.198,48,1.2,0.9,1.1
570,Wilmer Difo,373,1060,15,0.247,70,1.2,0.52,0.68
571,Darnell McDonald,263,698,18,0.254,98,1.2,0.74,1.03
572,JaCoby Jones,316,1090,30,0.217,76,1.2,0.62,0.66
573,Chris Parmelee,311,1011,30,0.248,98,1.2,0.63,0.71
574,Daniel Vogelbach,237,817,39,0.207,104,1.2,0.82,0.88
575,Kevin Newman,205,800,13,0.278,88,1.2,0.95,0.9
576,Darin Ruf,321,924,40,0.244,109,1.2,0.61,0.78
577,Reed Johnson,536,1130,13,0.273,93,1.2,0.36,0.64
578,Magglio Ordonez,176,722,17,0.279,103,1.1,1.01,0.91
579,Leury Garcia,480,1613,26,0.257,75,1.1,0.37,0.41
580,Adam Kennedy,335,999,12,0.245,82,1.1,0.53,0.66
581,Munenori Kawasaki,276,738,1,0.237,74,1.1,0.65,0.89
582,Josh Phegley,388,1203,35,0.225,74,1.1,0.46,0.55
583,Victor Caratini,242,663,14,0.25,87,1.1,0.74,1
584,Austin Kearns,283,841,16,0.243,98,1.1,0.63,0.78
585,Aaron Altherr,359,1156,37,0.219,89,1.1,0.5,0.57
586,Paulo Orlando,278,918,14,0.263,78,1,0.58,0.65
587,Rowdy Tellez,169,609,33,0.25,107,1,0.96,0.99
588,Will Middlebrooks,347,1234,43,0.228,76,1,0.47,0.49
589,Cameron Rupp,296,1127,39,0.234,86,1,0.55,0.53
590,Jason Bay,356,1361,37,0.229,92,1,0.46,0.44
591,Tony Kemp,327,852,15,0.234,88,1,0.5,0.7
592,Julio Borbon,248,699,4,0.264,68,0.9,0.59,0.77
593,Colin Moran,355,1182,33,0.269,98,0.9,0.41,0.46
594,Billy Burns,242,899,5,0.27,81,0.9,0.6,0.6
595,Miguel Tejada,300,1191,22,0.263,81,0.9,0.49,0.45
596,Phil Gosselin,355,745,10,0.263,82,0.9,0.41,0.72
597,Ryan Flaherty,547,1474,37,0.215,70,0.9,0.27,0.37
598,Jayson Nix,350,1110,26,0.214,68,0.9,0.42,0.49
599,Adam Engel,359,1123,20,0.222,67,0.9,0.41,0.48
600,Adonis Garcia,244,944,29,0.267,89,0.9,0.6,0.57
601,Kennys Vargas,236,859,35,0.252,100,0.9,0.62,0.63
602,Pedro Severino,246,787,22,0.231,80,0.9,0.59,0.69
603,Andrew Romine,585,1323,10,0.235,63,0.9,0.25,0.41
604,Pete Kozma,341,813,5,0.215,54,0.9,0.43,0.66
605,Mike Carp,297,935,26,0.25,105,0.8,0.44,0.51
606,Scott Hairston,463,1140,48,0.229,95,0.8,0.28,0.42
607,Johnny Giavotella,360,1344,14,0.255,78,0.8,0.36,0.36
608,Erik Gonzalez,260,606,9,0.256,72,0.8,0.5,0.79
609,Andrew Knapp,243,653,10,0.232,86,0.8,0.53,0.74
610,Greg Bird,186,700,32,0.211,96,0.8,0.7,0.69
611,Ryan Howard,840,3386,160,0.24,105,0.8,0.15,0.14
612,Humberto Quintero,259,834,11,0.236,57,0.8,0.5,0.58
613,Elliot Johnson,311,807,12,0.216,65,0.8,0.42,0.59
614,Kevan Smith,228,741,13,0.271,91,0.8,0.57,0.65
615,Aaron Miles,215,641,3,0.277,82,0.7,0.53,0.66
616,Scott Podsednik,197,811,7,0.298,94,0.7,0.58,0.52
617,Mitch Maier,194,608,7,0.246,88,0.7,0.58,0.69
618,Tyler White,257,859,26,0.236,98,0.7,0.44,0.49
619,Phillip Ervin,234,654,17,0.248,92,0.7,0.48,0.64
620,Ryan McMahon,294,931,36,0.237,80,0.7,0.39,0.45
621,Ryon Healy,404,1605,69,0.261,101,0.7,0.28,0.26
622,Alex Presley,450,1503,29,0.263,90,0.7,0.25,0.28
623,Hideki Matsui,320,1246,35,0.252,102,0.7,0.35,0.34
624,Mike Fontenot,235,618,6,0.262,89,0.7,0.48,0.68
625,Shane Robinson,450,823,7,0.22,62,0.7,0.25,0.51
626,Jason Donald,170,603,7,0.257,86,0.6,0.57,0.6
627,Carson Kelly,209,610,22,0.215,78,0.6,0.47,0.59
628,Jeff Baker,448,1117,28,0.26,96,0.6,0.22,0.32
629,Jordan Schafer,413,1277,10,0.232,73,0.6,0.24,0.28
630,Austin Romine,403,1238,27,0.239,70,0.6,0.24,0.29
631,Dayan Viciedo,483,1798,66,0.254,96,0.6,0.2,0.2
632,Orlando Arcia,531,1840,41,0.243,70,0.6,0.18,0.2
633,Chris Getz,342,1152,1,0.245,64,0.6,0.28,0.31
634,Pedro Ciriaco,272,649,5,0.268,76,0.6,0.36,0.55
635,Aaron Rowand,213,708,15,0.231,76,0.6,0.46,0.51
636,Blake Swihart,234,696,12,0.243,76,0.6,0.42,0.52
637,Jesus Sucre,247,721,10,0.222,52,0.6,0.39,0.5
638,Nick Franklin,301,923,24,0.214,78,0.6,0.32,0.39
639,Guillermo Heredia,391,1122,17,0.239,83,0.6,0.25,0.32
640,John McDonald,363,789,15,0.222,60,0.6,0.27,0.46
641,Matt Szczur,363,667,12,0.231,81,0.6,0.27,0.54
642,Corey Patterson,223,738,14,0.253,79,0.5,0.36,0.41
643,Don Kelly,529,1126,23,0.231,73,0.5,0.15,0.27
644,Jake Smolinski,235,673,16,0.235,83,0.5,0.34,0.45
645,Vladimir Guerrero,297,1233,42,0.295,108,0.5,0.27,0.24
646,Vladimir Guerrero Jr.,177,733,22,0.265,106,0.5,0.46,0.41
647,Nolan Reimold,376,1145,41,0.234,92,0.5,0.22,0.26
648,Chris Owings,664,2346,36,0.241,68,0.5,0.12,0.13
649,Brandon Barnes,484,1274,20,0.242,68,0.5,0.17,0.24
650,Kosuke Fukudome,300,1083,21,0.258,103,0.5,0.27,0.28
651,Gorkys Hernandez,394,1091,20,0.23,74,0.4,0.16,0.22
652,Blake DeWitt,278,773,10,0.258,87,0.4,0.23,0.31
653,Fred Lewis,209,715,11,0.249,93,0.4,0.31,0.34
654,Mike Aviles,777,2666,49,0.254,76,0.4,0.08,0.09
655,Tyler Greene,240,630,15,0.224,77,0.4,0.27,0.38
656,Tyler Saladino,326,1064,19,0.226,65,0.4,0.2,0.23
657,Joey Rickard,347,984,20,0.246,79,0.4,0.19,0.24
658,Jake Bauers,213,811,23,0.214,87,0.3,0.23,0.22
659,Jose Pirela,302,985,17,0.257,88,0.3,0.16,0.18
660,Eric Hinske,391,789,24,0.231,92,0.3,0.12,0.23
661,Joaquin Arias,433,977,7,0.261,73,0.3,0.11,0.18
662,Josh Wilson,243,658,5,0.231,64,0.3,0.2,0.27
663,Rio Ruiz,247,787,25,0.217,74,0.3,0.2,0.23
664,Jason Bourgeois,287,718,5,0.256,74,0.2,0.11,0.17
665,Jefry Marte,256,728,30,0.222,89,0.2,0.13,0.16
666,Chris Colabello,225,793,28,0.257,104,0.2,0.14,0.15
667,Ronald Guzman,232,793,29,0.231,85,0.2,0.14,0.15
668,Elian Herrera,223,639,8,0.253,82,0.2,0.15,0.19
669,Matt Davidson,298,1075,52,0.223,95,0.2,0.11,0.11
670,Jonathan Herrera,462,1279,10,0.261,66,0.1,0.04,0.05
671,Delmon Young,666,2520,71,0.278,99,0.1,0.02,0.02
672,Kevin Frandsen,340,910,8,0.267,86,0.1,0.05,0.07
673,Domonic Brown,493,1748,54,0.246,94,0.1,0.03,0.03
674,Wil Nieves,224,663,8,0.248,62,0.1,0.07,0.09
675,Jeff Francoeur,775,2720,72,0.25,85,0,0,0
676,Josh Rutledge,370,1206,20,0.258,77,0,0,0
677,Nick Williams,290,903,31,0.254,94,0,0,0
678,Greg Allen,221,618,8,0.239,69,-0.1,-0.07,-0.1
679,Junior Lake,223,703,17,0.235,81,-0.1,-0.07,-0.09
680,Conor Jackson,174,631,7,0.241,82,-0.1,-0.09,-0.1
681,Brennan Boesch,481,1713,48,0.25,89,-0.1,-0.03,-0.04
682,Chone Figgins,346,1285,4,0.227,71,-0.1,-0.05,-0.05
683,Logan Schafer,318,720,5,0.214,66,-0.1,-0.05,-0.08
684,Ryan Theriot,386,1507,3,0.27,79,-0.1,-0.04,-0.04
685,Charlie Culberson,428,916,23,0.247,75,-0.1,-0.04,-0.07
686,Lyle Overbay,603,1960,49,0.24,93,-0.2,-0.05,-0.06
687,Juan Rivera,365,1315,35,0.252,92,-0.2,-0.09,-0.09
688,Omar Quintanilla,186,603,6,0.221,66,-0.2,-0.17,-0.2
689,Tommy Joseph,249,880,43,0.247,95,-0.2,-0.13,-0.14
690,Michael McKenry,311,953,29,0.238,95,-0.2,-0.1,-0.13
691,Ryan Rua,279,755,23,0.236,74,-0.3,-0.17,-0.24
692,Dioner Navarro,519,1729,44,0.247,88,-0.3,-0.09,-0.1
693,Jace Peterson,529,1683,22,0.227,77,-0.3,-0.09,-0.11
694,Ian Stewart,248,851,25,0.22,72,-0.3,-0.2,-0.21
695,Endy Chavez,324,980,11,0.268,79,-0.3,-0.15,-0.18
696,Jason Kubel,525,2020,69,0.248,99,-0.3,-0.09,-0.09
697,Willie Bloomquist,390,1279,8,0.277,81,-0.4,-0.17,-0.19
698,Oswaldo Arcia,288,1075,44,0.235,96,-0.4,-0.23,-0.22
699,Xavier Paul,338,751,11,0.25,85,-0.4,-0.19,-0.32
700,Jason Giambi,308,773,31,0.217,94,-0.4,-0.21,-0.31
701,Ryan Goins,556,1690,22,0.228,64,-0.4,-0.12,-0.14
702,Angel Sanchez,177,602,1,0.256,71,-0.4,-0.37,-0.4
703,Jose Lopez,313,1112,22,0.236,66,-0.4,-0.21,-0.22
704,Brandon Drury,456,1620,47,0.248,81,-0.5,-0.18,-0.19
705,Wilin Rosario,447,1601,71,0.273,94,-0.5,-0.18,-0.19
706,Ryan O'Hearn,187,664,28,0.213,90,-0.5,-0.43,-0.45
707,Isiah Kiner-Falefa,228,822,8,0.263,76,-0.5,-0.36,-0.36
708,Carlos Perez,212,670,11,0.215,56,-0.5,-0.38,-0.45
709,J.P. Arencibia,467,1687,80,0.212,78,-0.5,-0.17,-0.18
710,Brent Morel,220,717,13,0.227,60,-0.6,-0.44,-0.5
711,Preston Tucker,243,651,23,0.222,87,-0.6,-0.4,-0.55
712,Orlando Cabrera,253,1014,9,0.251,67,-0.6,-0.38,-0.36
713,Yasmany Tomas,309,1175,48,0.266,97,-0.6,-0.31,-0.31
714,J.T. Riddle,243,776,19,0.222,64,-0.7,-0.47,-0.54
715,Grady Sizemore,313,1112,21,0.233,84,-0.7,-0.36,-0.38
716,Ben Francisco,291,747,17,0.241,89,-0.7,-0.39,-0.56
717,Steve Lombardozzi,291,848,5,0.26,70,-0.7,-0.39,-0.5
718,Reid Brignac,334,847,11,0.215,53,-0.7,-0.34,-0.5
719,Matt Dominguez,362,1369,42,0.231,77,-0.8,-0.36,-0.35
720,Raul Ibanez,643,2412,89,0.242,100,-0.8,-0.2,-0.2
721,Cesar Izturis,293,861,3,0.228,46,-0.8,-0.44,-0.56
722,Trevor Crowe,197,692,3,0.241,72,-0.8,-0.66,-0.69
723,Brett Wallace,494,1440,40,0.238,93,-0.9,-0.3,-0.38
724,Alen Hanson,261,625,12,0.232,68,-0.9,-0.56,-0.86
725,Raimel Tapia,299,860,13,0.277,74,-0.9,-0.49,-0.63
726,Matt Diaz,261,649,9,0.248,79,-0.9,-0.56,-0.83
727,Paul Janish,345,924,5,0.215,51,-1,-0.47,-0.65
728,Wilson Valdez,287,871,5,0.243,61,-1,-0.56,-0.69
729,Hector Sanchez,347,834,21,0.238,76,-1,-0.47,-0.72
730,Cheslor Cuthbert,323,1161,27,0.25,80,-1.1,-0.55,-0.57
731,Cody Asche,390,1349,32,0.234,82,-1.1,-0.46,-0.49
732,Elias Diaz,271,870,14,0.249,75,-1.1,-0.66,-0.76
733,Jose Osuna,272,691,22,0.238,80,-1.1,-0.66,-0.96
734,Jorge Cantu,184,670,14,0.242,74,-1.2,-1.06,-1.07
735,Omar Vizquel,226,736,2,0.261,68,-1.3,-0.93,-1.06
736,Casey Kotchman,419,1541,31,0.25,88,-1.3,-0.5,-0.51
737,Miguel Olivo,370,1362,49,0.236,78,-1.4,-0.61,-0.62
738,Tyler Moore,381,852,30,0.228,81,-1.4,-0.6,-0.99
739,Ty Wigginton,456,1518,48,0.239,86,-1.4,-0.5,-0.55
740,Matt LaPorta,239,870,24,0.234,89,-1.4,-0.95,-0.97
741,Ronny Paulino,189,656,6,0.262,76,-1.5,-1.29,-1.37
742,John Hicks,254,871,28,0.235,76,-1.5,-0.96,-1.03
743,Rod Barajas,301,1037,44,0.225,86,-1.6,-0.86,-0.93
744,Chris Herrmann,370,992,25,0.205,67,-1.6,-0.7,-0.97
745,Anthony Recker,206,630,18,0.199,76,-1.6,-1.26,-1.52
746,Jimmy Paredes,332,1012,20,0.251,77,-1.7,-0.83,-1.01
747,Matt Treanor,190,636,10,0.205,66,-1.8,-1.53,-1.7
748,Jorge Posada,235,838,32,0.242,107,-1.8,-1.24,-1.29
749,JB Shuck,461,1289,8,0.243,70,-1.8,-0.63,-0.84
750,Chris Nelson,282,901,16,0.265,79,-1.9,-1.09,-1.27
751,Skip Schumaker,700,2128,13,0.263,85,-2.1,-0.49,-0.59
752,Alexi Amarista,702,1901,21,0.231,64,-2.3,-0.53,-0.73
753,Xavier Nady,282,778,17,0.232,70,-2.3,-1.32,-1.77
754,Yuniesky Betancourt,497,1809,49,0.242,72,-2.3,-0.75,-0.76
755,Ryan Spilborghs,232,611,13,0.253,85,-2.4,-1.68,-2.36
756,Jesus Montero,226,865,28,0.253,92,-2.4,-1.72,-1.66
757,Bryan Holaday,289,766,10,0.238,65,-2.4,-1.35,-1.88
758,Mark Kotsay,397,941,14,0.242,77,-2.6,-1.06,-1.66
759,Tony Cruz,272,664,6,0.216,53,-2.6,-1.55,-2.35
760,Lewis Brinson,246,803,16,0.192,50,-2.6,-1.71,-1.94
761,Michael Martinez,295,621,6,0.194,34,-2.8,-1.54,-2.71
762,Greg Dobbs,492,1267,20,0.254,75,-2.8,-0.92,-1.33
763,Lou Marson,239,806,4,0.215,70,-2.9,-1.97,-2.16
764,Drew Butera,541,1435,19,0.199,48,-3.5,-1.05,-1.46
765,Jordan Pacheco,377,1149,10,0.272,70,-4.4,-1.89,-2.3
766,Gerald Laird,290,908,9,0.236,72,-4.8,-2.68,-3.17
767,Ryan Doumit,570,1924,58,0.258,101,-5.8,-1.65,-1.81
