Rank,Name,G,PA,HR,AVG,wRC+,WAR,WAR_162,WAR_600
241,Alex Rios,841,3421,85,0.273,96,8.9,1.71,1.56
242,Peter Bourjos,875,2334,43,0.237,84,8.9,1.65,2.29
243,Evan Gattis,706,2662,139,0.248,110,8.9,2.04,2.01
244,Byron Buxton,429,1491,50,0.24,88,8.8,3.32,3.54
245,Freddy Galvis,994,3831,94,0.247,79,8.7,1.42,1.36
246,Rene Rivera,464,1392,38,0.22,72,8.7,3.04,3.75
247,Rafael Devers,386,1653,74,0.282,116,8.7,3.65,3.16
248,Brandon Nimmo,359,1293,39,0.258,133,8.7,3.93,4.04
249,Roberto Perez,441,1507,46,0.212,77,8.6,3.16,3.42
250,Alfonso Soriano,653,2535,122,0.252,108,8.6,2.13,2.04
251,Jeff McNeil,243,1003,30,0.322,141,8.5,5.67,5.08
252,Omar Infante,847,3389,45,0.275,87,8.5,1.63,1.5
253,Andrew Benintendi,485,2104,51,0.273,108,8.5,2.84,2.42
254,Mitch Haniger,350,1499,62,0.267,124,8.4,3.89,3.36
255,Danny Espinosa,872,3267,98,0.221,82,8.3,1.54,1.52
256,Alejandro De Aza,771,2693,51,0.262,100,8.3,1.74,1.85
257,Enrique Hernandez,685,1992,71,0.24,99,8.3,1.96,2.5
258,Jordy Mercer,904,3289,64,0.257,88,8.3,1.49,1.51
259,David DeJesus,687,2511,43,0.259,104,8.3,1.96,1.98
260,Luis Valbuena,890,3119,104,0.222,94,8.2,1.49,1.58
261,Brandon Moss,789,2805,145,0.236,113,8.2,1.68,1.75
262,Gregor Blanco,892,2782,25,0.257,94,8.2,1.49,1.77
263,Justin Morneau,678,2791,84,0.283,113,8,1.91,1.72
264,Craig Gentry,591,1383,7,0.264,86,8,2.19,3.47
265,Rhys Hoskins,404,1762,91,0.239,127,8,3.21,2.72
266,Lonnie Chisenhall,688,2360,64,0.268,102,8,1.88,2.03
267,Jonathan Villar,826,3191,80,0.259,96,8,1.57,1.5
268,Jorge Polanco,492,2081,49,0.279,105,7.9,2.6,2.28
269,Stephen Piscotty,606,2455,83,0.263,111,7.9,2.11,1.93
270,Chris Denorfia,708,2148,38,0.271,103,7.8,1.78,2.18
271,Pedro Alvarez,910,3321,162,0.236,107,7.7,1.37,1.39
272,Steve Pearce,646,2177,83,0.257,114,7.7,1.93,2.12
273,Michael Cuddyer,693,2806,90,0.286,115,7.7,1.8,1.65
274,Mark Trumbo,1097,4419,218,0.249,106,7.6,1.12,1.03
275,Matt Duffy,452,1771,22,0.282,101,7.6,2.72,2.57
276,Juan Lagares,718,2119,25,0.254,82,7.6,1.71,2.15
277,Brian Anderson,361,1491,40,0.267,114,7.6,3.41,3.06
278,Derek Jeter,609,2793,36,0.283,97,7.5,2,1.61
279,Mark Ellis,565,2157,25,0.258,84,7.5,2.15,2.09
280,Mark Canha,497,1840,71,0.247,114,7.5,2.44,2.45
281,Corey Hart,527,2099,95,0.268,120,7.4,2.27,2.12
282,Derek Dietrich,744,2507,84,0.245,108,7.4,1.61,1.77
283,Rajai Davis,1115,3713,55,0.258,85,7.3,1.06,1.18
284,Ben Revere,857,3343,7,0.284,82,7.3,1.38,1.31
285,Franklin Gutierrez,517,1822,57,0.247,96,7.2,2.26,2.37
286,Victor Martinez,1096,4480,135,0.292,114,7.2,1.06,0.96
287,Mitch Moreland,1174,4268,175,0.252,101,7.1,0.98,1
288,Gregory Polanco,711,2819,84,0.246,96,7.1,1.62,1.51
289,Ramon Laureano,220,861,34,0.271,121,7.1,5.23,4.95
290,Lucas Duda,958,3581,156,0.239,116,7.1,1.2,1.19
291,Wilmer Flores,719,2487,86,0.268,102,7.1,1.6,1.71
292,Miguel Rojas,678,2016,24,0.267,86,7,1.67,2.08
293,Placido Polanco,462,1869,14,0.277,85,7,2.45,2.25
294,David Fletcher,278,1166,10,0.29,101,7,4.08,3.6
295,Avisail Garcia,809,3207,98,0.271,103,7,1.4,1.31
296,Cliff Pennington,875,2796,32,0.239,77,6.9,1.28,1.48
297,Michael Saunders,729,2618,81,0.233,96,6.9,1.53,1.58
298,Dustin Ackley,635,2347,46,0.241,90,6.9,1.76,1.76
299,Chipper Jones,333,1341,42,0.276,122,6.9,3.36,3.09
300,Rougned Odor,853,3414,144,0.238,86,6.8,1.29,1.2
301,Hank Conger,373,1134,31,0.221,86,6.7,2.91,3.54
302,Ian Happ,368,1245,62,0.249,117,6.6,2.91,3.18
303,Jake Lamb,602,2290,83,0.24,98,6.6,1.78,1.73
304,Sean Rodriguez,1032,2697,76,0.227,90,6.6,1.04,1.47
305,Fernando Tatis Jr.,138,612,37,0.302,149,6.5,7.63,6.37
306,Daniel Nava,589,1977,29,0.266,104,6.5,1.79,1.97
307,Yuli Gurriel,506,2092,71,0.289,114,6.5,2.08,1.86
308,Scott Rolen,290,1136,33,0.263,106,6.4,3.58,3.38
309,Alberto Callaspo,785,2885,41,0.256,90,6.2,1.28,1.29
